service_type,day_of_week,is_weekend,hour_of_day,slot_booking_count,avg_hourly_bookings,avg_service_duration_minutes,historical_avg_wait,expected_wait_minutes
passport,1,0,15,10,12,34.19,225.83,240
nic,6,1,10,3,18,12.16,26.46,36.92
nic,2,0,15,4,11,15.95,45.63,60.92
license,6,1,13,7,14,27.06,125.98,189.8
nic,2,0,9,3,4,18.85,28.4,41.22
nic,6,1,14,12,12,23.05,185.8,240
passport,3,0,13,11,25,24.76,169.59,240
license,2,0,13,13,21,25.51,213.82,240
passport,6,1,10,13,13,35.09,293.18,240
license,0,0,10,12,18,14.9,131.89,194.32
nic,2,0,11,6,6,16.71,72.3,97.84
passport,5,1,9,2,9,33.12,44.55,47.19
nic,5,1,14,7,9,22.25,86.6,161.21
passport,5,1,15,8,10,31.27,159.5,227.32
license,1,0,15,5,5,29.22,103.12,150.17
nic,6,1,13,5,16,17.81,68.41,103.46
nic,5,1,14,3,12,14.58,34.03,54.8
nic,0,0,15,5,13,17.51,53.02,97.64
nic,3,0,11,8,16,19.66,116.43,155.47
license,6,1,15,9,10,25.61,147.76,218.14
nic,6,1,15,10,10,11.41,85.45,109.72
license,3,0,11,12,12,22.35,170.88,240
license,4,0,13,7,10,25.64,123.67,194.64
license,4,0,14,10,13,26.15,172.67,240
license,6,1,14,6,15,22.5,86.29,137.75
passport,0,0,9,5,6,33.27,120.2,173.96
passport,4,0,14,16,19,38.92,400.67,240
nic,3,0,14,10,10,15.08,105.1,161.91
nic,4,0,11,3,14,22.96,35.75,80.12
passport,6,1,13,9,9,27.63,146.54,235.35
nic,1,0,15,11,11,24.09,169.67,240
passport,5,1,9,10,10,34.37,236.58,240
license,1,0,14,11,21,20.89,146.59,240
passport,4,0,14,8,16,34.92,176.98,240
passport,3,0,10,8,10,35.15,188.33,240
passport,2,0,15,9,14,28.59,151.63,240
nic,4,0,11,13,13,16.74,123.55,206.31
passport,2,0,13,11,11,38.22,268.52,240
nic,5,1,9,2,6,18.53,41.43,30.11
license,5,1,13,4,12,26.99,68.88,106.1
passport,4,0,15,11,11,30.75,222.58,240
license,2,0,13,10,11,24.65,166.86,240
license,3,0,10,10,14,28.34,187.77,240
license,3,0,10,5,13,24.12,78.51,125.68
license,5,1,13,10,12,35.78,252.15,240
nic,4,0,11,14,14,22.53,205.25,240
passport,6,1,15,7,8,31.07,148.03,207.39
license,3,0,13,11,25,20.25,152.03,240
license,0,0,14,3,10,22.5,37.34,97.4
nic,3,0,13,6,17,15.01,50.78,97.47
license,5,1,14,7,10,20.63,89.59,140.63
nic,1,0,9,7,7,17.94,87.87,130.05
passport,0,0,13,10,17,37.15,245.31,240
passport,3,0,13,11,21,33.21,241.15,240
passport,2,0,13,11,18,31.11,229.39,240
license,6,1,14,9,9,20.25,126.12,178.87
nic,1,0,15,2,13,22.97,28.63,52.39
nic,2,0,14,11,13,17.72,118.13,198.56
passport,0,0,11,13,14,30.52,258.99,240
nic,2,0,13,12,17,19.28,147.66,240
nic,0,0,13,12,12,20.3,162.12,240
license,2,0,14,12,13,28.42,215.81,240
nic,4,0,10,7,11,15.99,72.66,114.87
passport,4,0,13,12,13,26.29,207.19,240
passport,1,0,13,10,19,28.63,203.83,240
passport,1,0,14,9,13,32.07,196.19,240
passport,5,1,14,9,18,31.87,183.12,240
nic,6,1,9,4,4,23.89,61.81,74.54
passport,1,0,14,12,21,28.03,231.55,240
license,0,0,9,10,10,22.5,134.38,214.41
passport,4,0,10,12,12,35.26,286.12,240
license,0,0,15,6,15,27.94,112.53,174.28
license,6,1,13,11,15,30.18,214.39,240
license,6,1,14,7,12,19.29,87.41,144.77
passport,6,1,10,8,9,25.25,122.62,192.98
passport,4,0,15,6,14,33.15,140.16,196.38
license,5,1,9,9,9,29.8,179.24,240
passport,3,0,10,11,15,35.11,255.97,240
nic,6,1,10,9,9,18.99,116.35,159.33
license,6,1,14,8,9,30.37,156.19,240
passport,0,0,13,12,17,40.08,307.95,240
nic,6,1,14,6,12,15.4,63.46,103.91
passport,6,1,14,8,17,30.19,162.2,240
passport,2,0,15,3,18,28.19,56.19,102.03
passport,6,1,10,6,11,25.34,97.11,144.7
nic,2,0,15,7,7,10,51.63,85.3
passport,0,0,10,16,16,38.59,401.25,240
license,4,0,14,14,17,30.16,266.84,240
passport,3,0,14,11,15,35.65,250.42,240
license,0,0,10,8,15,24.45,123.88,202.46
passport,4,0,10,11,17,34.62,243.55,240
license,6,1,9,9,10,16.76,82.69,136.89
nic,5,1,11,9,9,20.13,120.0,170.13
passport,2,0,14,9,26,29.94,173.71,240
license,4,0,15,8,17,25.34,126.55,213.7
license,1,0,11,6,14,21.17,66.52,132.46
license,1,0,15,2,8,27.18,27.74,59.2
nic,2,0,11,6,16,17.82,60.3,106.7
passport,0,0,11,10,19,27.7,179.28,240
license,5,1,15,2,13,23.49,28.65,45.8
passport,1,0,14,12,22,28.53,234.89,240
license,4,0,14,11,11,18.81,123.16,213.56
license,3,0,9,7,9,22.71,86.41,138.97
nic,0,0,13,12,12,16.02,124.93,198.83
license,4,0,9,8,10,24.75,135.0,185.94
passport,4,0,9,6,6,30.78,122.82,174.69
passport,3,0,10,12,13,34.12,270.31,240
passport,0,0,10,6,16,29.65,117.08,188.94
license,2,0,13,6,16,18.49,80.76,130.46
passport,0,0,14,15,18,25.01,243.35,240
license,1,0,9,11,11,17.11,129.32,187.09
passport,1,0,13,17,17,31.17,361.84,240
passport,2,0,9,9,13,29.45,176.33,240
passport,2,0,11,9,10,28.37,157.94,240
passport,5,1,11,3,11,37.87,81.46,100.02
nic,6,1,10,11,11,15.13,106.01,144.47
nic,0,0,14,9,15,22.68,134.81,222.37
passport,2,0,15,12,21,34.43,257.67,240
passport,5,1,15,7,14,34.95,168.53,225.82
nic,6,1,10,5,10,16.05,57.38,73.36
nic,4,0,10,10,17,25.54,163.17,240
nic,4,0,11,13,13,17.01,146.12,229.64
passport,1,0,15,9,12,33.68,196.11,240
passport,4,0,14,9,13,30.78,196.25,240
passport,1,0,13,9,20,33.74,197.95,240
license,1,0,15,5,8,29.99,92.4,146.77
nic,3,0,10,11,12,26.21,193.55,240
license,3,0,13,8,22,21.56,120.27,192.8
license,6,1,11,7,10,19.05,74.86,123.32
passport,4,0,15,11,18,31.36,235.14,240
passport,2,0,15,7,15,30.45,147.16,209.77
passport,3,0,14,11,24,32.37,231.27,240
license,3,0,13,8,13,21.82,115.48,192.11
passport,0,0,15,9,11,35.42,212.67,240
nic,1,0,14,9,12,15.43,93.89,162.76
license,5,1,9,4,7,19.91,57.49,71.6
nic,4,0,9,6,14,12.05,48.71,81.55
license,5,1,14,6,8,24.67,99.84,147.89
nic,4,0,13,15,15,17.51,164.54,240
nic,6,1,11,5,8,14.82,35.9,68.56
nic,1,0,15,7,9,18.96,70.6,136.33
passport,5,1,10,9,9,36.84,212.5,240
passport,0,0,15,8,16,19.63,114.29,177.9
passport,5,1,9,11,11,26.79,208.57,240
passport,0,0,9,8,9,36.1,179.73,240
license,0,0,13,13,19,22.91,193.27,240
passport,1,0,13,11,12,31.19,207.21,240
nic,3,0,14,11,15,23.42,162.35,240
passport,1,0,13,13,18,31.88,265.94,240
passport,6,1,10,6,10,40.45,158.82,235.79
passport,6,1,15,13,13,29.85,254.85,240
license,1,0,15,11,11,20.46,145.68,217.04
license,4,0,14,6,13,23.04,92.69,158.14
nic,2,0,10,11,17,18.57,136.93,199.94
passport,2,0,9,9,15,35.47,211.16,240
license,6,1,11,1,11,22.52,25.7,17.93
passport,2,0,14,11,16,36.99,278.21,240
license,1,0,15,13,13,24.86,218.12,240
passport,6,1,11,6,8,36.41,141.01,203.88
passport,4,0,10,7,14,38.56,176.57,240
license,4,0,9,0,9,22.03,5,3
nic,6,1,10,7,7,17.93,81.05,115.88
passport,5,1,13,11,11,30.48,220.43,240
passport,0,0,9,11,11,40.94,291.48,240
passport,1,0,10,10,16,28.34,182.1,240
passport,5,1,11,10,14,33.5,212.87,240
nic,4,0,10,9,12,18.47,95.93,164.28
nic,4,0,14,8,17,17.91,90.68,161.14
license,4,0,11,5,14,24.28,79.88,126.01
passport,3,0,13,12,14,27.47,225.48,240
passport,0,0,13,11,17,29.19,210.3,240
license,0,0,10,7,7,30.89,138.16,195.9
nic,3,0,13,16,16,21.72,231.06,240
nic,2,0,13,7,14,15.3,60.57,119.81
passport,1,0,10,11,18,35.38,245.35,240
passport,5,1,15,7,8,35.47,160.73,218.5
license,5,1,14,9,9,20.45,109.13,185.56
nic,0,0,13,12,12,19.71,152.79,240
nic,1,0,11,13,13,13.5,130.76,182.05
passport,3,0,10,14,17,32.45,298.31,240
license,2,0,9,0,1,19.98,5,3
passport,2,0,11,8,10,24.75,130.94,196.65
nic,5,1,9,5,10,16.34,60.51,68.3
passport,0,0,10,10,14,33.65,221.24,240
nic,5,1,14,9,9,13.74,78.5,126.12
nic,2,0,13,7,11,19.64,84.1,156.87
license,6,1,15,7,17,20.25,91.07,140.6
passport,5,1,9,4,4,22.43,51.71,71.31
passport,6,1,11,7,13,38.52,184.78,240
license,6,1,9,6,6,27.49,107.15,143.5
passport,1,0,11,13,19,29.36,261.88,240
nic,5,1,13,12,12,19.09,151.13,240
passport,3,0,9,11,12,39.16,293.57,240
nic,5,1,15,5,10,16.89,66.92,79.61
passport,2,0,13,12,16,34.58,272.98,240
passport,6,1,11,6,10,25.71,106.18,143.21
nic,5,1,10,4,4,20.34,42.31,55.19
license,5,1,11,4,5,25.4,55.07,86.47
passport,4,0,14,11,17,31.0,213.24,240
license,5,1,11,4,11,29.49,85.94,96.81
passport,0,0,15,8,11,26.97,151.41,215.37
passport,2,0,13,11,20,33.98,265.94,240
passport,1,0,13,6,17,27.45,114.07,187.62
passport,1,0,11,11,13,34.24,233.2,240
passport,0,0,14,9,17,32.75,194.96,240
passport,4,0,13,7,14,31.91,146.7,232.71
nic,2,0,15,6,13,10,46.27,70.92
license,1,0,14,12,16,23.5,175.4,240
nic,5,1,14,7,7,12.81,56.29,98.01
license,0,0,9,2,5,29.97,41.65,53.62
passport,1,0,15,3,8,32.44,64.69,98.25
license,5,1,15,5,6,24.52,76.4,120.73
nic,3,0,14,14,14,19.91,168.09,240
nic,1,0,10,10,11,14.38,99.45,140.78
license,6,1,10,11,11,23.56,168.81,238.13
passport,1,0,15,8,14,33.71,174.52,240
license,5,1,13,10,12,26.49,168.78,240
passport,6,1,11,10,18,30.46,191.83,240
nic,0,0,13,12,12,13.26,102.9,177.93
license,3,0,9,3,6,24.8,50.38,73.4
license,1,0,15,6,18,22.2,88.98,153.43
license,6,1,9,8,8,19.09,111.31,136.5
license,6,1,15,3,6,21.5,39.52,51.72
nic,3,0,14,8,15,12.43,63.19,109.7
nic,1,0,14,11,15,20.38,155.06,240
license,0,0,10,8,12,27.51,144.36,211.46
nic,1,0,11,12,12,20.95,177.92,240
passport,5,1,15,9,9,36.14,221.35,240
nic,4,0,13,14,14,13.25,115.14,205.48
passport,0,0,15,7,12,32.92,146.5,209.67
passport,4,0,13,12,19,31.31,241.18,240
nic,3,0,15,6,10,15.16,51.35,83.37
nic,3,0,9,2,5,22.02,36.42,45.41
license,2,0,11,8,8,25.65,119.32,192.05
license,2,0,15,7,7,26.51,121.1,184.65
nic,6,1,10,2,11,14.42,15.11,22.87
passport,0,0,13,14,22,25.5,239.06,240
nic,2,0,11,6,8,19.85,81.36,119.79
license,0,0,14,15,19,24.87,247.48,240
nic,4,0,11,14,15,17.35,148.07,230.69
license,6,1,10,7,15,22.85,103.48,149.18
nic,2,0,13,9,11,23.42,127.36,218.08
passport,6,1,9,11,11,34.82,251.17,240
license,5,1,13,9,20,28.4,171.77,240
license,0,0,9,6,15,23.64,89.26,142.98
license,1,0,13,10,16,26.23,181.81,240
nic,3,0,9,9,9,15.25,78.76,123.76
nic,3,0,9,7,7,24.17,98.25,152.72
license,1,0,9,13,13,25.05,200.04,240
passport,5,1,11,10,15,31.43,213.35,240
passport,0,0,13,16,24,29.43,296.36,240
passport,5,1,10,3,17,26.7,56.17,88.5
nic,5,1,15,10,12,18.79,110.91,171.04
license,0,0,10,6,23,20.13,94.75,130.96
passport,4,0,15,8,13,35.51,178.87,240
license,5,1,15,5,9,23.59,70.46,108.35
passport,2,0,9,7,16,29.47,151.88,199.32
passport,5,1,15,6,15,32.55,126.85,187.45
license,3,0,15,7,8,24.03,108.3,156.4
nic,0,0,9,6,12,15.64,56.11,100.41
license,0,0,13,11,14,23.43,173.04,240
passport,3,0,11,9,17,32.65,190.81,240
passport,5,1,13,8,13,35.77,180.37,240
nic,2,0,15,13,13,15.75,139.19,225.45
license,4,0,14,11,16,26.53,183.47,240
passport,0,0,9,11,11,30.21,205.74,240
license,0,0,10,7,12,22.35,104.63,153.72
license,5,1,11,11,12,21.58,159.57,230.77
passport,0,0,13,12,23,25.2,205.03,240
nic,5,1,13,6,6,20.62,65.54,127.5
nic,6,1,9,4,4,13.64,46.29,36.2
nic,5,1,10,9,12,15.66,92.45,131.38
passport,4,0,11,13,17,30.46,251.96,240
license,4,0,14,11,13,23.32,163.68,240
license,6,1,9,3,13,18.15,39.87,36.05
license,1,0,11,13,13,23.15,204.79,240
nic,6,1,14,2,4,19.67,29.06,43.35
passport,6,1,11,14,14,28.96,260.42,240
passport,3,0,11,7,19,25.56,116.04,190.75
license,1,0,15,8,8,26.61,130.48,197.33
passport,6,1,10,6,6,32.8,123.71,173.73
passport,6,1,14,7,14,28.54,128.49,201.5
nic,4,0,9,7,11,14.52,52.33,99.67
license,3,0,11,4,15,18.39,52.88,81.8
license,0,0,14,10,16,25.78,162.4,240
passport,1,0,11,6,12,33.07,137.43,205.2
nic,4,0,11,5,5,21.78,69.12,109.32
license,2,0,15,3,14,25.87,37.98,73.92
passport,3,0,9,3,7,25.31,51.35,65.57
passport,6,1,9,5,12,24.62,84.78,113.81
passport,5,1,9,5,7,28.43,98.38,125.31
passport,0,0,15,11,11,28.44,196.4,240
passport,3,0,15,10,14,35.02,243.14,240
license,2,0,11,7,16,21.8,91.28,167.91
license,3,0,10,6,13,27.63,107.07,171.02
license,2,0,9,13,13,30.65,254.86,240
license,3,0,10,7,7,22.9,105.6,151.25
license,2,0,15,4,11,29.91,82.46,119.62
nic,5,1,15,4,16,17.19,52.82,71.68
passport,6,1,14,4,11,33.71,95.91,139.31
license,1,0,15,6,16,20.94,92.33,119.59
nic,5,1,11,14,14,14.79,129.72,200.18
passport,3,0,13,13,15,29.21,246.16,240
passport,4,0,9,5,9,35.98,114.06,164.74
license,3,0,10,14,14,26.07,244.96,240
nic,2,0,13,6,10,13.26,52.89,97.57
nic,0,0,14,12,16,19.08,152.86,238.99
license,4,0,9,11,17,21.12,151.72,231.09
license,1,0,11,6,11,22.73,101.0,142.56
license,4,0,15,5,16,28.25,99.58,154.66
passport,2,0,9,13,13,44.26,364.2,240
license,0,0,11,6,14,17.59,86.5,116.66
nic,6,1,10,6,6,14.65,82.09,84.62
license,3,0,13,8,9,23.93,130.03,207.25
nic,4,0,15,6,12,22.43,96.26,134.04
passport,1,0,14,8,16,27.49,144.43,231.06
passport,0,0,15,13,14,39.36,330.66,240
passport,6,1,10,7,10,29.41,135.36,196.75
nic,6,1,11,7,8,19.88,80.21,127.52
passport,6,1,15,4,6,31.12,75.16,104.86
license,5,1,13,8,12,19.39,110.59,155.54
license,4,0,14,13,13,26.16,223.4,240
nic,4,0,13,8,8,18.58,79.18,149.92
nic,0,0,11,11,12,22.86,153.35,234.45
passport,2,0,10,7,16,29.2,132.49,199.42
nic,5,1,14,8,11,19.59,102.27,164.72
nic,4,0,9,4,13,23.18,57.65,101.7
nic,3,0,9,8,8,14.77,84.19,121.71
nic,6,1,11,9,9,19.48,115.34,167.78
nic,5,1,9,6,7,16.49,70.39,76.32
nic,6,1,10,10,10,18.88,120.65,166.77
license,5,1,13,8,14,27.63,138.76,219.69
passport,1,0,9,8,11,33.72,201.35,240
passport,1,0,13,13,24,26.37,224.17,240
nic,0,0,15,9,13,15.75,94.34,148.57
license,4,0,10,10,12,22.72,130.84,219.06
nic,1,0,14,9,11,20.15,114.89,185.67
passport,0,0,10,12,13,40.43,325.33,240
nic,6,1,11,10,10,16.53,113.52,148.46
nic,6,1,9,7,7,21.02,99.11,130.34
nic,4,0,11,9,9,12.33,86.36,114.73
passport,0,0,10,6,15,35.06,152.34,223.73
passport,3,0,14,7,15,32.49,139.58,240
passport,3,0,10,9,18,33.27,190.48,240
nic,3,0,14,15,17,13.87,132.29,215.89
nic,6,1,15,6,6,17.91,73.63,90.94
passport,0,0,9,7,9,36.86,169.61,240
passport,4,0,9,11,11,28.21,187.67,240
license,1,0,13,13,13,24.26,209.18,240
nic,2,0,11,8,10,14.53,97.41,125.61
passport,6,1,10,4,11,27.33,64.29,94.66
nic,5,1,11,7,8,19.21,82.19,117.71
nic,3,0,14,5,13,23.54,78.88,134.68
nic,2,0,9,3,11,14.66,28.38,54.05
passport,3,0,15,4,9,30.96,88.95,127.92
nic,2,0,10,4,14,23.25,75.73,97.5
passport,3,0,13,9,16,25.95,150.24,240
passport,6,1,9,5,9,31.33,101.87,135.02
passport,6,1,9,0,7,27.19,17.12,3
passport,4,0,11,11,17,29.02,214.02,240
passport,3,0,9,10,10,33.88,216.09,240
nic,6,1,10,4,8,16.29,40.29,61.5
license,6,1,10,14,14,25.51,244.78,240
license,3,0,14,10,18,28.18,167.66,240
license,5,1,14,12,16,27.65,225.97,240
passport,6,1,11,6,6,32.78,117.26,187.8
license,0,0,9,0,12,30.18,5,10.47
nic,0,0,14,9,15,23.1,136.07,226.8
license,0,0,9,7,14,17.4,80.39,122.66
license,3,0,15,8,13,31.46,152.97,236.0
license,0,0,11,4,16,27.0,67.88,115.97
license,3,0,10,12,12,25.26,190.08,240
license,1,0,13,5,15,22.95,75.73,128.73
passport,4,0,13,12,18,34.1,267.66,240
nic,6,1,14,9,19,17.68,98.63,169.37
license,3,0,14,11,11,26.86,211.41,240
nic,6,1,14,4,15,15.1,38.33,73.82
nic,0,0,15,10,11,13.34,84.32,150.06
nic,6,1,15,5,9,10.94,35.77,50.51
nic,2,0,13,13,15,15.76,143.86,213.78
license,5,1,15,9,9,24.02,137.93,212.91
license,1,0,13,6,19,23.03,98.59,159.71
passport,5,1,14,8,14,30.76,155.87,240
license,4,0,14,16,16,20.58,217.49,240
nic,2,0,15,7,13,10,53.73,85.28
passport,3,0,11,9,17,25.33,144.57,224.69
passport,0,0,13,11,18,34.02,242.98,240
nic,2,0,11,8,12,14.44,55.9,108.96
passport,0,0,9,9,12,34.17,196.45,240
passport,4,0,14,6,17,32.1,123.89,204.99
license,5,1,15,8,13,27.38,141.34,214.73
passport,5,1,9,6,7,38.26,150.96,210.89
license,0,0,11,6,12,20.15,73.43,129.25
nic,1,0,10,3,13,22.22,54.26,65.64
license,2,0,13,7,15,28.43,127.57,210.8
nic,5,1,11,7,12,28.59,136.74,188.87
nic,3,0,9,7,13,24.05,112.54,161.69
nic,4,0,11,7,10,13.4,83.02,108.44
passport,3,0,14,12,16,34.52,263.09,240
passport,5,1,15,9,16,40.56,225.02,240
passport,2,0,13,8,14,31.36,172.89,240
passport,0,0,11,8,16,25.65,115.16,192.72
license,3,0,13,9,15,21.09,122.24,201.81
nic,0,0,11,11,18,18.17,135.57,197.33
nic,0,0,15,7,10,17.85,82.37,127.91
license,5,1,15,7,10,30.94,141.28,203.73
passport,3,0,13,17,17,31.57,353.25,240
passport,0,0,15,11,16,31.44,213.93,240
license,0,0,11,8,16,36.65,191.54,240
license,6,1,14,9,11,26.9,171.96,240
license,6,1,14,8,8,23.13,108.98,179.77
passport,2,0,9,1,9,32.21,21.42,23.49
license,6,1,13,8,14,20.56,84.03,158.05
nic,4,0,15,4,4,12.98,30.87,57.22
passport,6,1,14,9,11,27.58,164.68,240
license,0,0,11,8,10,26.82,150.0,209.89
nic,3,0,14,11,14,12.06,82.39,145.55
passport,0,0,15,5,9,36.32,117.68,179.5
nic,4,0,10,9,11,24.4,129.65,203.32
passport,5,1,11,8,16,26.98,143.14,218.39
passport,4,0,10,8,16,35.88,189.41,240
license,3,0,15,6,9,25.15,103.18,148.53
nic,3,0,15,4,5,21.02,52.58,87.98
license,4,0,14,5,15,24.15,80.24,131.38
license,1,0,13,10,10,22.64,142.64,228.71
nic,3,0,9,9,13,21.45,118.53,203.57
nic,2,0,11,9,9,18.82,119.31,175.83
passport,1,0,15,14,17,33.99,308.63,240
nic,2,0,13,9,10,16.21,93.8,153.43
nic,3,0,14,10,15,19.31,118.54,209.01
passport,1,0,9,5,5,30.7,107.37,143.04
passport,5,1,13,9,14,35.24,211.87,240
nic,0,0,14,17,17,14.96,157.25,240
passport,5,1,10,7,15,33.39,148.31,216.86
passport,3,0,10,15,15,28.67,287.93,240
nic,5,1,13,5,11,17.2,56.61,88.46
nic,1,0,14,14,16,23.44,222.48,240
license,4,0,14,10,17,25.78,171.61,240
license,3,0,10,8,16,28.78,149.45,239.56
license,3,0,10,3,9,25.4,49.23,75.59
passport,5,1,14,11,21,34.83,252.57,240
nic,5,1,11,8,8,14.13,78.37,104.84
passport,0,0,9,7,10,29.75,121.05,199.53
passport,5,1,9,3,6,30.49,73.11,69.43
nic,0,0,14,7,16,20.47,98.57,155.53
passport,2,0,11,17,17,32.01,356.39,240
passport,6,1,13,10,17,36.76,232.22,240
license,5,1,10,7,10,22.47,98.21,144.4
license,4,0,14,7,7,23.66,101.86,162.18
nic,3,0,10,10,15,12.09,87.54,136.02
nic,0,0,15,5,5,19.82,60.89,91.16
nic,6,1,9,5,5,16.51,48.32,60.73
nic,3,0,11,6,16,27.93,126.4,177.2
passport,1,0,11,12,12,32.33,243.93,240
license,2,0,9,9,16,15.19,85.26,147.35
license,6,1,11,16,16,28.75,299.89,240
nic,5,1,14,1,6,16.9,5,27.35
license,3,0,11,4,10,29.97,82.6,117.47
nic,6,1,14,2,10,10.36,16.41,34.38
nic,3,0,11,8,11,14.96,68.35,127.05
passport,3,0,15,9,12,37.65,218.92,240
license,1,0,14,9,11,19.92,118.81,197.62
license,5,1,11,5,11,23.08,92.1,113.89
passport,1,0,11,7,9,30.31,120.54,191.67
license,6,1,14,8,13,30.69,170.96,240
passport,3,0,15,13,13,32.91,279.01,240
passport,1,0,14,10,11,31.74,206.43,240
passport,1,0,9,8,12,29.72,160.38,218.35
nic,6,1,10,1,8,23.23,26.59,22.53
passport,4,0,14,9,15,34.85,195.88,240
passport,3,0,11,12,20,30.6,244.36,240
nic,2,0,11,14,14,16.28,139.17,235.67
nic,0,0,15,8,11,21.56,108.59,167.43
passport,4,0,15,11,11,35.46,244.83,240
license,5,1,9,3,9,25.99,41.42,53.74
nic,3,0,11,7,10,17.13,75.21,120.27
license,4,0,14,15,15,28.38,279.27,240
nic,2,0,9,2,10,24.04,27.07,37.1
passport,5,1,10,3,13,35.74,81.2,102.07
nic,1,0,13,8,15,22.52,114.65,189.29
passport,0,0,13,11,11,30.77,219.47,240
passport,4,0,14,7,16,37.52,188.87,240
passport,6,1,10,12,12,36.66,288.47,240
passport,2,0,9,11,11,29.26,207.61,240
license,4,0,10,9,9,23.31,142.95,214.8
nic,3,0,11,11,15,15.87,111.22,182.49
license,6,1,15,5,19,23.61,72.12,119.56
nic,1,0,10,12,14,11.84,86.15,151.65
license,2,0,13,12,12,27.45,228.03,240
license,0,0,13,7,18,28.51,140.97,222.8
nic,3,0,14,4,8,20.71,54.84,91.65
license,5,1,13,8,12,25.5,135.44,202.59
license,0,0,15,11,12,21.44,152.84,232.6
nic,3,0,13,11,13,17.44,115.78,191.03
nic,5,1,13,4,9,25.48,62.39,106.98
passport,4,0,15,7,11,37.62,178.2,240
nic,4,0,13,13,17,22.36,180.77,240
nic,5,1,9,3,12,17.96,45.98,52.4
license,5,1,14,3,9,26.24,61.43,85.86
license,3,0,10,6,8,23.57,91.63,127.88
nic,6,1,13,4,5,19.94,56.71,77.82
nic,5,1,15,3,10,17.16,31.24,40.13
nic,2,0,9,0,7,16.4,5.12,3
license,4,0,13,0,18,18.79,5,26.46
passport,3,0,13,17,18,31.52,341.49,240
passport,5,1,13,11,11,31.75,224.38,240
nic,6,1,9,7,9,18.02,77.84,104.74
passport,5,1,11,5,13,27.71,79.36,133.06
passport,1,0,15,8,17,36.41,182.62,240
nic,2,0,9,3,10,24.62,49.77,71.94
nic,4,0,11,6,15,15.34,58.65,95.93
license,3,0,15,11,12,27.17,198.73,240
passport,1,0,9,6,8,38.22,152.43,216.29
license,0,0,13,10,13,27.22,171.66,240
license,6,1,15,6,7,26.59,107.35,149.05
nic,3,0,13,12,17,19.44,166.87,240
nic,2,0,9,6,13,22.0,71.76,119.26
passport,3,0,14,9,18,22.8,120.97,215.17
license,3,0,15,8,16,25.34,120.58,193.48
nic,1,0,14,11,11,23.91,172.33,240
license,3,0,13,10,17,19.96,133.58,214.14
nic,3,0,11,2,3,17.71,13.1,29.09
passport,4,0,10,11,17,30.9,234.36,240
license,5,1,13,10,13,20.41,133.2,207.05
nic,6,1,10,6,6,23.24,90.14,124.2
passport,3,0,13,12,12,32.69,255.59,240
passport,6,1,13,12,12,37.12,296.39,240
nic,5,1,10,3,10,15.62,39.66,43.87
nic,5,1,9,3,3,21.7,36.52,40.89
license,0,0,10,12,17,21.08,159.52,240
nic,3,0,14,9,13,17.13,109.01,166.93
passport,3,0,15,8,18,35.43,186.95,240
nic,4,0,10,7,7,12.17,45.06,82.97
nic,6,1,15,5,7,20.34,65.44,93.56
nic,0,0,14,5,5,17.96,60.84,101.44
passport,6,1,14,16,17,29.95,326.81,240
license,3,0,9,8,15,28.06,139.86,206.12
passport,1,0,9,2,15,42.03,61.18,83.96
passport,4,0,10,13,13,37.92,320.07,240
passport,5,1,15,3,7,31.25,56.18,84.33
nic,1,0,9,6,6,22.96,81.34,125.68
passport,2,0,14,8,15,32.88,158.92,240
passport,3,0,11,7,13,30.54,136.3,227.45
passport,6,1,14,11,12,28.48,211.84,240
passport,1,0,10,10,14,37.57,247.19,240
passport,5,1,13,11,14,29.92,225.25,240
license,5,1,15,7,7,26.96,124.72,179.72
license,6,1,10,10,13,26.03,169.3,240
passport,4,0,11,8,16,26.12,120.96,217.36
nic,4,0,14,9,9,10.59,78.05,122.87
passport,2,0,9,13,13,31.93,265.81,240
passport,1,0,11,15,24,32.6,324.21,240
license,1,0,14,12,12,29.34,233.16,240
passport,3,0,10,7,13,34.93,153.87,240
license,2,0,11,9,12,22.82,144.43,201.52
nic,4,0,11,14,14,13.32,118.74,190.78
license,3,0,15,12,13,26.34,204.49,240
passport,6,1,10,6,9,27.54,107.03,153.87
nic,2,0,11,8,8,16.21,87.22,132.81
nic,5,1,15,8,10,10.46,58.24,83.95
nic,5,1,13,8,10,10,53.48,91.27
nic,6,1,11,9,9,23.99,134.22,204.1
license,5,1,13,5,12,28.49,93.33,153.26
license,4,0,14,6,15,27.95,99.65,182.27
nic,4,0,14,7,7,13.81,66.55,101.55
license,6,1,10,13,13,18.21,163.41,218.51
nic,6,1,15,7,7,18.56,83.63,123.32
nic,1,0,15,6,14,20.14,76.83,113.24
nic,6,1,11,5,10,10.53,27.84,36.01
nic,4,0,14,8,9,18.34,98.02,167.19
passport,0,0,15,11,11,34.21,238.31,240
passport,2,0,9,10,12,33.55,213.73,240
nic,3,0,10,4,16,17.23,44.63,77.02
license,1,0,13,5,14,24.53,76.09,144.02
nic,5,1,9,6,6,22.16,79.68,105.34
passport,1,0,11,7,10,29.49,138.7,208.52
license,4,0,14,12,12,20.05,161.71,240
license,4,0,14,15,15,22.27,216.58,240
passport,4,0,15,7,18,40.99,185.98,240
passport,4,0,9,5,11,27.57,86.2,131.51
nic,6,1,13,12,12,19.46,154.5,239.85
license,5,1,13,14,14,25.2,239.27,240
